label,benchmark,sf,threads,query,med_c1,med_c2,med_c3,med_c4,best_c1,best_c2,best_c3,best_c4,insurance,insurance_fwd,residual_qo,residual_qo_c1,pt_replaces_qo,backward_extra
job_t1,job,0,1,6d,0.94,0.96,0.96,0.55,0.7,0.73,0.72,0.55,1.7090909090909088,0.9791666666666666,1.0,1.342857142857143,0.7857142857142858,1.7454545454545451
job_t1,job,0,1,6e,0.68,0.605,0.6000000000000001,0.435,0.63,0.44,0.43,0.43,1.5632183908045978,1.1239669421487604,1.0116279069767442,1.0793650793650795,0.6904761904761905,1.3908045977011494
job_t1,job,0,1,6f,12.774999999999999,12.725000000000001,15.445,12.925,10.79,10.73,12.93,10.82,0.9883945841392648,1.003929273084479,1.194547134935305,1.1839666357738647,1.1978683966635775,0.9845261121856868
job_t1,job,0,1,7a,3.175,1.105,1.09,1.09,2.75,0.95,0.98,0.92,2.9128440366972472,2.8733031674208145,1.184782608695652,1.1545454545454545,0.3963636363636364,1.013761467889908
job_t1,job,0,1,7b,2.8449999999999998,0.97,0.975,0.97,2.48,0.7,0.7,0.7,2.9329896907216493,2.9329896907216493,1.3857142857142857,1.1471774193548385,0.3911290322580645,1.0
job_t1,job,0,1,7c,5.7,2.365,2.38,2.3499999999999996,3.75,1.68,1.58,1.61,2.4255319148936176,2.41014799154334,1.4596273291925463,1.52,0.6266666666666666,1.0063829787234044
job_t1,job,0,1,8a,1.43,0.825,0.825,0.79,0.89,0.68,0.67,0.66,1.810126582278481,1.7333333333333334,1.196969696969697,1.6067415730337078,0.8876404494382023,1.0443037974683542
job_t1,job,0,1,8b,1.255,0.65,0.66,0.65,0.58,0.56,0.56,0.56,1.9307692307692306,1.9307692307692306,1.1607142857142856,2.163793103448276,1.120689655172414,1.0
job_t1,job,0,1,8c,2.585,2.545,2.7649999999999997,2.55,2.14,2.2,2.39,2.21,1.0137254901960784,1.0157170923379175,1.1538461538461537,1.2079439252336448,1.1915887850467288,0.9980392156862745
job_t1,job,0,1,8d,1.165,1.135,1.19,1.14,0.96,0.89,0.93,0.88,1.0219298245614037,1.026431718061674,1.2954545454545454,1.2135416666666667,1.1875,0.9956140350877194
job_t1,job,0,1,9a,1.6549999999999998,1.24,1.2349999999999999,1.0550000000000002,1.19,1.09,1.1,1.0,1.568720379146919,1.3346774193548385,1.0550000000000002,1.3907563025210083,0.8865546218487397,1.1753554502369667
job_t1,job,0,1,9b,1.8450000000000002,0.885,0.875,0.8400000000000001,1.1,0.76,0.76,0.73,2.1964285714285716,2.0847457627118646,1.1506849315068495,1.6772727272727272,0.7636363636363637,1.0535714285714284
job_t1,job,0,1,9c,1.78,1.275,1.295,0.925,1.13,1.05,1.05,0.88,1.9243243243243242,1.3960784313725492,1.0511363636363638,1.5752212389380533,0.8185840707964603,1.3783783783783783
job_t1,job,0,1,9d,2.115,1.96,1.99,1.4449999999999998,1.6,1.65,1.68,1.18,1.4636678200692044,1.0790816326530615,1.2245762711864405,1.3218750000000001,0.9031249999999998,1.3564013840830451
tpch_sf10_t1,tpch,10,1,Q01,3.18,3.17,3.17,3.18,3.15,3.14,3.16,3.13,1.0,1.003154574132492,1.0159744408945688,1.0095238095238097,1.0095238095238097,0.9968553459119496
tpch_sf10_t1,tpch,10,1,Q02,0.97,0.725,0.735,0.77,0.76,0.59,0.59,0.62,1.2597402597402596,1.3379310344827586,1.2419354838709677,1.276315789473684,1.013157894736842,0.9415584415584415
