label,query,case,k_breakeven,med_c1,med_c,med_bf
job_t1,job_q17d,4,41.276493638504896,14.203534276,1.129249408,0.32461328399999545
job_t1,job_q17e,4,236.13535223734885,126.8449846455,2.847967673,0.5273431484999997
job_t1,job_q17f,4,56.178517244078606,29.983089338,1.730556908,0.512020508000002
job_t1,job_q18a,4,4.014262023886614,1.918318299,1.3126559645,0.20093221149999896
job_t1,job_q18b,4,4.840288616195702,2.8581022110000003,1.477215111,0.3595789894999991
job_t1,job_q18c,4,3.8058815765078036,3.6884644735,2.1808260695,0.5373136259999983
job_t1,job_q19a,4,9.563786107582013,2.6585847705,1.2161186910000001,0.16843789200000006
job_t1,job_q19b,4,65.8348506335418,2.0942689655,1.0824770985,0.015605678999999999
job_t1,job_q19c,4,7.957674044785381,2.5380843735000003,1.091957104,0.2078463665000001
job_t1,job_q19d,4,8.835907327622136,3.5378422155,1.665467945,0.23894798550000027
job_t1,job_q1a,4,27.510635180648123,0.3517290745,0.1179440175,0.008818538500000004
job_t1,job_q1b,4,63.354321689463674,0.3184690465,0.0692560325,0.003996724
job_t1,job_q1c,4,2.1027999873149685,0.21924892499999998,0.167729992,0.046716479500000005
job_t1,job_q1d,4,48.31930609527949,0.324483194,0.0742919925,0.005287296500000001
job_t1,job_q20a,4,38.13526330280073,9.4641540195,1.215792828,0.22211667450000044
job_t1,job_q20b,4,12.349995542678847,1.475316793,0.879465862,0.05249790000000001
job_t1,job_q20c,4,24.859502643645104,9.373164688500001,1.573875253,0.3268839904999996
job_t1,job_q21a,4,11.492844311137793,0.320815575,0.1922455155,0.012253117999999993
job_t1,job_q21b,4,8.192441015503569,0.275132621,0.1900482195,0.0118296975
job_t1,job_q21c,4,15.346832109913196,0.387446328,0.197108255,0.013266905999999997
job_t1,job_q22a,4,15.588369970210863,1.684944397,0.5488675215000001,0.07787551849999996
job_t1,job_q22b,4,15.189540690563799,1.604033333,0.5425735389999999,0.0748057895
job_t1,job_q22c,4,30.03141441281658,2.381799893,0.5620178645,0.0626832025
job_t1,job_q22d,4,33.13291828084037,3.3477648305,0.4163746125,0.09122701500000004
job_t1,job_q23a,4,9.935840932379064,1.1306911125,0.5296700569999999,0.06725959650000006
job_t1,job_q23b,4,9.16626038861927,1.0699231574999999,0.53214294,0.06585391499999996
job_t1,job_q23c,4,7.022338336266618,1.210747546,0.6137005145,0.09913873950000006
job_t1,job_q24a,4,8.08115026622883,2.6973797700000004,1.206220943,0.21058144099999998
job_t1,job_q24b,4,18.072764837013416,2.3320249530000003,0.9660869114999999,0.08000684450000001
job_t1,job_q25a,4,6.245941649409246,3.836777218,1.720303573,0.40344971150000114
job_t1,job_q25b,4,7.552115950520828,3.4228023185,1.45770844,0.2999174454999983
job_t1,job_q25c,4,4.242442917318893,4.250912111,2.430190761,0.5615276494999997
job_t1,job_q26a,4,18.000315821196427,6.7994588975,1.4836640505,0.3126880054999997
job_t1,job_q26b,4,21.606809724948363,5.985603622,1.228638417,0.23084433100000007
job_t1,job_q26c,4,17.337067425134844,6.8038092935000005,1.392159687,0.3312497565000001
job_t1,job_q27a,4,6.821109455858852,0.26928866500000004,0.199463581,0.011995150500000001
job_t1,job_q27b,4,7.697826782383269,0.21721294800000002,0.168847338,0.00722109
job_t1,job_q27c,4,13.339684006382319,0.354618271,0.200923231,0.012455346499999999
job_t1,job_q28a,4,42.47700900134213,3.042613633,0.5556174985,0.05996083600000001
job_t1,job_q28b,4,18.531918996615342,1.5615481225,0.5300390845,0.058836059999999996
job_t1,job_q28c,4,40.138807631255084,3.069260214,0.5639094235,0.06401193449999998
job_t1,job_q29a,4,26.47763684579244,2.726165418,1.00360941,0.06761050950000001
job_t1,job_q29b,4,14.696413030820093,1.502578412,0.9061143549999999,0.04354892449999998
job_t1,job_q29c,4,20.41009806250618,4.3230060775,1.1534622104999999,0.16329355249999994
job_t1,job_q2a,4,7.382663466708657,0.5923109120000001,0.260583582,0.05197318200000002
job_t1,job_q2b,4,8.04932528296654,0.5815486675,0.254377388,0.04641171549999999
job_t1,job_q2c,4,459.4901226357444,0.543231038,0.0420298095,0.0010931560000000005
